x;y;datetime;smd50upveg;distroad;elevation;day
699907,4367;7225002,885;2010-08-01 04:34;Young;583,0952148;277;1
699891,0714;7224998,614;2010-08-01 04:36;Young;583,0952148;308;1
699896,139;7225002,681;2010-08-01 04:38;Young;583,0952148;274;1
699893,9868;7225001,977;2010-08-01 04:40;Young;583,0952148;289;1
699898,3283;7225012,142;2010-08-01 04:42;Young;583,0952148;278;1
699893,3426;7225009,198;2010-08-01 04:44;Young;583,0952148;271;1
699900,7678;7225022,551;2010-08-01 04:46;Young;565,6854248;287;1
699903,758;7225015,489;2010-08-01 04:48;Young;583,0952148;289;1
699883,9339;7225032,218;2010-08-01 04:50;Young;565,6854248;276;1
699865,9551;7225075,149;2010-08-01 04:52;Young;494,974762;278;1
699851,4107;7225111,42;2010-08-01 04:54;Young;494,974762;297;1
699849,0334;7225118,71;2010-08-01 04:56;Young;494,974762;312;1
699845,8499;7225121,662;2010-08-01 04:58;Young;460,9772339;275;1
699835,7662;7225150,039;2010-08-01 05:00;Young;460,9772339;278;1
699845,9059;7225165,065;2010-08-01 05:02;Young;460,9772339;301;1
699832,1443;7225168,793;2010-08-01 05:04;Young;460,9772339;288;1
699811,9271;7225165,753;2010-08-01 05:06;Young;424,2640686;282;1
699814,942;7225153,663;2010-08-01 05:08;Young;424,2640686;290;1
699807,4824;7225151,297;2010-08-01 05:10;Young;424,2640686;288;1
699811,6893;7225155,306;2010-08-01 05:12;Young;424,2640686;281;1
699800,4172;7225159,388;2010-08-01 05:14;Young;424,2640686;282;1
699809,2187;7225157,002;2010-08-01 05:16;Young;424,2640686;267;1
699809,0619;7225156,991;2010-08-01 05:18;Young;424,2640686;291;1
699799,0692;7225161,905;2010-08-01 05:20;Young;424,2640686;285;1
699804,9335;7225166,957;2010-08-01 05:22;Young;424,2640686;295;1
699809,3564;7225178,245;2010-08-01 05:24;Young;390,5124817;276;1
699810,7201;7225153,378;2010-08-01 05:26;Young;424,2640686;257;1
699815,8806;7225167,696;2010-08-01 05:28;Young;424,2640686;273;1
699809,7378;7225165,605;2010-08-01 05:30;Young;424,2640686;278;1
699809,4249;7225165,584;2010-08-01 05:32;Young;424,2640686;285;1
699808,3928;7225159,926;2010-08-01 05:34;Young;424,2640686;283;1
699807,5481;7225165,457;2010-08-01 05:36;Young;424,2640686;299;1
699805,9966;7225169,823;2010-08-01 05:38;Young;424,2640686;316;1
699811,6269;7225170,203;2010-08-01 05:40;Young;390,5124817;281;1
699815,4427;7225164,872;2010-08-01 05:42;Young;424,2640686;274;1
699815,4425;7225155,559;2010-08-01 05:44;Young;424,2640686;286;1
699808,255;7225152,653;2010-08-01 05:46;Young;424,2640686;285;1
699807,0226;7225149,962;2010-08-01 05:48;Young;424,2640686;292;1
699805,0895;7225152,998;2010-08-01 05:50;Young;424,2640686;305;1
699811,8644;7225162,023;2010-08-01 05:52;Young;424,2640686;288;1
699807,4982;7225156,886;2010-08-01 05:54;Young;424,2640686;286;1
699803,6359;7225182,702;2010-08-01 05:56;Young;390,5124817;281;1
699812,1585;7225169,307;2010-08-01 05:58;Young;424,2640686;288;1
699808,6306;7225156,404;2010-08-01 06:00;Young;424,2640686;271;1
699808,4242;7225161,791;2010-08-01 06:02;Young;424,2640686;273;1
699810,0004;7225157,055;2010-08-01 06:04;Young;424,2640686;280;1
699805,6405;7225163,466;2010-08-01 06:06;Young;424,2640686;283;1
699811,5018;7225172,057;2010-08-01 06:08;Young;390,5124817;283;1
699805,1867;7225159,71;2010-08-01 06:10;Young;424,2640686;297;1
699813,3781;7225153,557;2010-08-01 06:12;Young;424,2640686;288;1
699817,6318;7225165,02;2010-08-01 06:14;Young;424,2640686;293;1
699810,5475;7225157,091;2010-08-01 06:16;Young;424,2640686;297;1
699811,708;7225162,013;2010-08-01 06:18;Young;424,2640686;292;1
699808,9995;7225153,262;2010-08-01 06:20;Young;424,2640686;283;1
699809,3747;7225157,012;2010-08-01 06:22;Young;424,2640686;290;1
699804,5576;7225149,237;2010-08-01 06:24;Young;424,2640686;316;1
699803,182;7225160,32;2010-08-01 06:26;Young;424,2640686;284;1
699799,742;7225169,401;2010-08-01 06:28;Young;424,2640686;266;1
699793,9553;7225169,01;2010-08-01 06:30;Young;424,2640686;299;1
699774,9075;7225164,932;2010-08-01 06:32;Young;390,5124817;317;1
699776,4721;7225179,007;2010-08-01 06:34;Young;353,5534058;286;1
699774,1568;7225152,774;2010-08-01 06:36;Young;390,5124817;298;1
699771,1546;7225150,709;2010-08-01 06:38;Young;390,5124817;269;1
699751,4633;7225172,478;2010-08-01 06:40;Young;353,5534058;277;1
699724,6161;7225207,174;2010-08-01 06:42;Young;320,1562195;325;1
699735,6146;7225235,11;2010-08-01 06:44;Young;320,1562195;269;1
699734,3137;7225240,424;2010-08-01 06:46;Young;320,1562195;270;1
699712,3269;7225247,323;2010-08-01 06:48;Young;282,8427124;280;1
699715,6675;7225253,695;2010-08-01 06:50;Young;282,8427124;275;1
699722,6421;7225259,753;2010-08-01 06:52;Young;282,8427124;279;1
699727,9462;7225250,984;2010-08-01 06:54;Young;282,8427124;274;1
699721,757;7225264,723;2010-08-01 06:56;Young;282,8427124;289;1
699705,0718;7225271,048;2010-08-01 06:58;Young;250;287;1
699700,4277;7225278,185;2010-08-01 07:00;Young;250;283;1
